,Sample limsid,Sample Name,plate,well,384_plate
333,MAI1502A3406,index_set_334,4,D10,H20
334,MAI1502A3407,index_set_335,4,D11,H22
335,MAI1502A3408,index_set_336,4,D12,H24
336,MAI1502A3409,index_set_337,4,E1,J2
337,MAI1502A3410,index_set_338,4,E2,J4
338,MAI1502A3411,index_set_339,4,E3,J6
339,MAI1502A3412,index_set_340,4,E4,J8
340,MAI1502A3413,index_set_341,4,E5,J10
341,MAI1502A3414,index_set_342,4,E6,J12
342,MAI1502A3415,index_set_343,4,E7,J14
343,MAI1502A3416,index_set_344,4,E8,J16
344,MAI1502A3417,index_set_345,4,E9,J18
345,MAI1502A3418,index_set_346,4,E10,J20
346,MAI1502A3419,index_set_347,4,E11,J22
347,MAI1502A3420,index_set_348,4,E12,J24
348,MAI1502A3421,index_set_349,4,F1,L2
349,MAI1502A3422,index_set_350,4,F2,L4
350,MAI1502A3423,index_set_351,4,F3,L6
351,MAI1502A3424,index_set_352,4,F4,L8
352,MAI1502A3425,index_set_353,4,F5,L10
353,MAI1502A3426,index_set_354,4,F6,L12
354,MAI1502A3427,index_set_355,4,F7,L14
355,MAI1502A3428,index_set_356,4,F8,L16
356,MAI1502A3429,index_set_357,4,F9,L18
357,MAI1502A3430,index_set_358,4,F10,L20
358,MAI1502A3431,index_set_359,4,F11,L22
359,MAI1502A3432,index_set_360,4,F12,L24
360,MAI1502A3433,index_set_361,4,G1,N2
361,MAI1502A3434,index_set_362,4,G2,N4
362,MAI1502A3435,index_set_363,4,G3,N6
363,MAI1502A3436,index_set_364,4,G4,N8
364,MAI1502A3437,index_set_365,4,G5,N10
365,MAI1502A3438,index_set_366,4,G6,N12
366,MAI1502A3439,index_set_367,4,G7,N14
367,MAI1502A3440,index_set_368,4,G8,N16
368,MAI1502A3441,index_set_369,4,G9,N18
369,MAI1502A3442,index_set_370,4,G10,N20
370,MAI1502A3443,index_set_371,4,G11,N22
371,MAI1502A3444,index_set_372,4,G12,N24
372,MAI1502A3445,index_set_373,4,H1,P2
373,MAI1502A3446,index_set_374,4,H2,P4
374,MAI1502A3447,index_set_375,4,H3,P6
375,MAI1502A3448,index_set_376,4,H4,P8
376,MAI1502A3449,index_set_377,4,H5,P10
377,MAI1502A3450,index_set_378,4,H6,P12
378,MAI1502A3451,index_set_379,4,H7,P14
379,MAI1502A3452,index_set_380,4,H8,P16
380,MAI1502A3453,index_set_381,4,H9,P18
381,MAI1502A3454,index_set_382,4,H10,P20
382,MAI1502A3455,index_set_383,4,H11,P22
383,MAI1502A3456,index_set_384,4,H12,P24
